year,month,all_sectors,electric_utilities,ind_power_producers,commercial_sector,industrial_sector
2019,January,326,258,54,0,13
2019,February,272,222,39,0,11
2019,March,235,193,28,0,13
2019,April,155,107,32,0,16
2019,May,294,219,60,0,14
2019,June,216,151,51,0,14
2019,July,309,227,58,0,24
2019,August,276,203,58,0,15
2019,Sept,231,183,33,0,15
2019,October,83,64,3,0,15
2019,November,129,101,15,0,14
2019,December,197,137,46,0,14
2020,January,261,204,42,0,15
2020,February,190,147,31,0,12
2020,March,262,210,39,0,13
2020,April,221,179,33,0,9
2020,May,231,183,35,0,13
2020,June,308,258,36,0,14
2020,July,356,298,43,0,15
2020,August,305,245,44,0,16
2020,Sept,159,116,31,0,13
