state,region,Jan_20,Feb_20,Mar_20,Apr_20,May_20,Jun_20,Jul_20,Aug_20,Sep_20,total_2020
Connecticut,northeast,2412,2167,1841,1267,1799,2052,2455,2468,2437,18898
Maine,northeast,1107,1008,1014,718,927,1065,1219,1166,1139,9363
Massachusetts,northeast,5211,4809,4173,2673,3691,4389,5197,5035,4921,40099
New Hampshire,northeast,1051,934,950,676,834,1009,1118,1144,1077,8793
New Jersey,northeast,5371,5461,4991,3519,4207,5560,5508,5805,6534,46956
New York,northeast,9483,8799,8812,6003,7684,8471,9699,10267,9446,78664
Pennsylvania,northeast,7512,6943,6561,4647,6287,7511,8497,8307,8485,64750
Rhode Island,northeast,418,460,484,381,489,558,635,688,926,5039
Vermont,northeast,561,512,454,279,404,481,600,586,564,4441
Delaware,south atlantic,748,689,655,458,563,933,891,753,898,6588
District of Columbia,south atlantic,331,242,378,218,215,274,210,294,288,2450
Florida,south atlantic,19697,17414,16479,11102,15168,16485,16634,16145,16254,145378
Georgia,south atlantic,10785,9808,9188,7104,9555,9740,10695,9706,9417,85998
Maryland,south atlantic,4379,3957,3766,2686,3606,4309,5512,4936,4333,37484
North Carolina,south atlantic,10330,8034,8791,6404,8270,9286,10013,9315,9371,79814
South Carolina,south atlantic,4667,4217,4122,3196,4135,4540,4791,4371,4704,38743
Virginia,south atlantic,6798,5639,5642,4170,5283,5970,6724,6352,6499,53077
West Virginia,south atlantic,1397,1224,1478,992,988,1341,1546,1417,1412,11795
Illinois,north central,8288,8179,6859,5805,6643,8713,8386,8072,7717,68662
Indiana,north central,6630,5121,4909,4315,5335,6103,7555,6536,6584,53088
Iowa,north central,2352,2299,2304,2092,2438,2828,2912,2812,2817,22854
Kansas,north central,2410,2466,2190,1801,2190,2610,2737,2689,2513,21606
Michigan,north central,8384,8046,6896,5057,5640,6885,8256,7557,7796,64517
Minnesota,north central,4486,4186,4095,3332,4079,4656,4851,4469,4540,38694
Missouri,north central,5686,4978,4825,3994,5227,5788,6515,6395,6647,50055
Nebraska,north central,1507,1467,1455,1236,1449,1679,1880,1791,1718,14182
North Dakota,north central,763,690,779,676,635,781,855,733,690,6602
Ohio,north central,9639,7993,7430,5915,7448,8863,9457,8636,8860,74241
South Dakota,north central,601,648,698,574,664,814,979,898,855,6731
Wisconsin,north central,4934,4618,4459,3722,4451,5256,5635,5277,5039,43391
Alabama,south gulf,5679,5058,5095,4102,5393,5901,5802,5771,5552,48353
Arkansas,south gulf,3295,2272,2912,2220,2693,3130,3299,2978,2829,25628
Kentucky,south gulf,4259,3124,3289,2961,3410,4010,3681,3978,3934,32646
Louisiana,south gulf,3677,3327,3412,2828,3521,3950,4101,4227,3853,32896
Mississippi,south gulf,2664,2903,2820,2315,2942,3344,3543,3236,3270,27037
Oklahoma,south gulf,3517,3350,3207,2668,3151,3593,3873,3929,3744,31032
Tennessee,south gulf,7034,5508,5842,4467,6030,7046,7190,6473,6438,56028
Texas,south gulf,22528,22078,20005,14722,18869,20357,21174,21101,21776,182610
Alaska,west,377,357,355,320,448,442,474,449,406,3628
Arizona,west,5656,5626,5122,4265,5242,5681,5033,4403,4818,45846
California,west,24653,23985,22454,18389,21361,26418,27596,25568,23835,214259
Colorado,west,4642,3784,3670,2757,3458,3849,4220,4520,4284,35184
Hawaii,west,903,754,677,490,437,640,731,693,741,6066
Idaho,west,1298,1317,1191,990,1244,1439,1615,1553,1504,12151
Montana,west,789,827,777,655,911,1221,1465,1426,1160,9231
Nevada,west,2185,2028,1932,1440,1872,2020,2246,2156,1978,17857
New Mexico,west,2251,2013,1879,1403,1890,2019,2308,2082,2032,17877
Oregon,west,2694,2637,2457,1949,2429,2850,3299,3345,2894,24554
Utah,west,2537,2313,2328,1724,2170,2444,2681,2793,2609,21599
Washington,west,4293,4712,3943,3257,4111,4498,5088,4958,5187,40047
Wyoming,west,738,687,687,636,742,872,999,1007,951,7319
,,,,,,,,,,,
