month,year,system,miles_traveled
Jan,2019,Rural Interstate,18693
Feb,2019,Rural Interstate,16849
Mar,2019,Rural Interstate,20917
Q1,2019,Rural Interstate,56460
Jan,2019,Rural Arterial,27596
Feb,2019,Rural Arterial,25652
Mar,2019,Rural Arterial,31012
Q1,2019,Rural Arterial,84260
Jan,2019,Rural Other,25078
Feb,2019,Rural Other,22757
Mar,2019,Rural Other,27954
Q1,2019,Rural Other,75788
Jan,2019,Total Rural,71367
Feb,2019,Total Rural,65258
Mar,2019,Total Rural,79883
Q1,2019,Total Rural,216508
Jan,2019,All Systems,248208
Feb,2019,All Systems,226734
Mar,2019,All Systems,271456
Q1,2019,All Systems,746398
Apr,2019,Rural Interstate,22040
May,2019,Rural Interstate,23125
Jun,2019,Rural Interstate,22953
Q2,2019,Rural Interstate,68118
Apr,2019,Rural Arterial,32258
May,2019,Rural Arterial,33634
Jun,2019,Rural Arterial,33847
Q2,2019,Rural Arterial,99739
Apr,2019,Rural Other,30033
May,2019,Rural Other,30660
Jun,2019,Rural Other,30483
Q2,2019,Rural Other,91176
Apr,2019,Total Rural,84331
May,2019,Total Rural,87419
Jun,2019,Total Rural,87283
Q2,2019,Total Rural,259033
Apr,2019,All Systems,281429
May,2019,All Systems,286020
Jun,2019,All Systems,280936
Q2,2019,All Systems,848385
Jul,2019,Rural Interstate,25386
Aug,2019,Rural Interstate,24150
Sep,2019,Rural Interstate,21446
Q3,2019,Rural Interstate,70983
Jul,2019,Rural Arterial,36658
Aug,2019,Rural Arterial,35209
Sep,2019,Rural Arterial,32849
Q3,2019,Rural Arterial,104716
Jul,2019,Rural Other,32732
Aug,2019,Rural Other,31362
Sep,2019,Rural Other,29241
Q3,2019,Rural Other,93335
Jul,2019,Total Rural,94776
Aug,2019,Total Rural,90722
Sep,2019,Total Rural,83537
Q3,2019,Total Rural,269034
Jul,2019,All Systems,295584
Aug,2019,All Systems,286531
Sep,2019,All Systems,271691
Q3,2019,All Systems,853807
Oct,2019,Rural Interstate,22417
Nov,2019,Rural Interstate,20460
Dec,2019,Rural Interstate,21670
Q4,2019,Rural Interstate,64547
Oct,2019,Rural Arterial,33943
Nov,2019,Rural Arterial,30303
Dec,2019,Rural Arterial,31239
Q4,2019,Rural Arterial,95485
Oct,2019,Rural Other,30343
Nov,2019,Rural Other,26802
Dec,2019,Rural Other,27497
Q4,2019,Rural Other,84642
Oct,2019,Total Rural,86703
Nov,2019,Total Rural,77565
Dec,2019,Total Rural,80406
Q4,2019,Total Rural,244674
Oct,2019,All Systems,283955
Nov,2019,All Systems,260459
Dec,2019,All Systems,274113
Q4,2019,All Systems,818527
Jan,2020,Rural Interstate,19213
Feb,2020,Rural Interstate,17394
Mar,2020,Rural Interstate,16772
Q1,2020,Rural Interstate,53379
Jan,2020,Rural Arterial,28350
Feb,2020,Rural Arterial,26438
Mar,2020,Rural Arterial,25871
Q1,2020,Rural Arterial,80659
Jan,2020,Rural Other,25579
Feb,2020,Rural Other,23326
Mar,2020,Rural Other,23518
Q1,2020,Rural Other,72423
Jan,2020,Total Rural,73143
Feb,2020,Total Rural,67158
Mar,2020,Total Rural,66161
Q1,2020,Total Rural,206461
Jan,2020,All Systems,253582
Feb,2020,All Systems,232062
Mar,2020,All Systems,220148
Q1,2020,All Systems,705793
Apr,2020,Rural Interstate,12195
May,2020,Rural Interstate,16919
Jun,2020,Rural Interstate,19469
Q2,2020,Rural Interstate,48583
Apr,2020,Rural Arterial,20431
May,2020,Rural Arterial,26455
Jun,2020,Rural Arterial,30666
Q2,2020,Rural Arterial,77553
Apr,2020,Rural Other,19996
May,2020,Rural Other,24649
Jun,2020,Rural Other,27954
Q2,2020,Rural Other,72599
Apr,2020,Total Rural,52622
May,2020,Total Rural,68023
Jun,2020,Total Rural,78089
Q2,2020,Total Rural,198735
Apr,2020,All Systems,168467
May,2020,All Systems,212908
Jun,2020,All Systems,243981
Q2,2020,All Systems,625357
Jul,2020,Rural Interstate,22188
Aug,2020,Rural Interstate,21399
Sep,2020,Rural Interstate,20350
Q3,2020,Rural Interstate,63937
Jul,2020,Rural Arterial,33543
Aug,2020,Rural Arterial,31889
Sep,2020,Rural Arterial,31164
Q3,2020,Rural Arterial,96595
Jul,2020,Rural Other,30511
Aug,2020,Rural Other,28697
Sep,2020,Rural Other,27782
Q3,2020,Rural Other,86989
Jul,2020,Total Rural,86242
Aug,2020,Total Rural,81985
Sep,2020,Total Rural,79295
Q3,2020,Total Rural,247522
Jul,2020,All Systems,262461
Aug,2020,All Systems,251183
Sep,2020,All Systems,248277
Q3,2020,All Systems,761922
